REGION,REGION,PROVINCIA,COMUNA,DISTRITO 2016,DISTRITO 2017
XV Region de Arica y Parinacota,15,Provincia  Arica,Arica,1,1
XV Region de Arica y Parinacota,15,Provincia  Arica,Camarones,1,1
XV Region de Arica y Parinacota,15,Provincia Parinacota,Putre,1,1
XV Region de Arica y Parinacota,15,Provincia Parinacota,General Lagos,1,1
I Región de Tarapacá,1,Provincia Iquique,Iquique,2,2
I Región de Tarapacá,1,Provincia Iquique,Alto Hospicio,2,2
I Región de Tarapacá,1,Provincia  Tamarugal,Pozo Almonte,2,2
I Región de Tarapacá,1,Provincia  Tamarugal,Camiña,2,2
I Región de Tarapacá,1,Provincia  Tamarugal,Colchane,2,2
I Región de Tarapacá,1,Provincia  Tamarugal,Huara,2,2
I Región de Tarapacá,1,Provincia  Tamarugal,Pica,2,2
II Región de Antofagasta,2,Provincia  Antofagasta,Antofagasta,4,3
II Región de Antofagasta,2,Provincia  Antofagasta,Mejillones,4,3
II Región de Antofagasta,2,Provincia  Antofagasta,Sierra Gorda,4,3
II Región de Antofagasta,2,Provincia  Antofagasta,Taltal,4,3
II Región de Antofagasta,2,Provincia  El Loa,Calama,3,3
II Región de Antofagasta,2,Provincia  El Loa,Ollagüe,3,3
II Región de Antofagasta,2,Provincia  El Loa,San Pedro de Atacama,3,3
II Región de Antofagasta,2,Provincia Tocopilla,Tocopilla,3,3
II Región de Antofagasta,2,Provincia Tocopilla,María Elena,3,3
III Región de Atacama,3,Provincia  Copiapó,Copiapó,5,4
III Región de Atacama,3,Provincia  Copiapó,Caldera,6,4
III Región de Atacama,3,Provincia  Copiapó,Tierra Amarilla,6,4
III Región de Atacama,3,Provincia  Chañaral,Chañaral,5,4
III Región de Atacama,3,Provincia  Chañaral,Diego de Almagro,5,4
III Región de Atacama,3,Provincia  Huasco,Vallenar,6,4
III Región de Atacama,3,Provincia  Huasco,Alto del Carmen,6,4
III Región de Atacama,3,Provincia  Huasco,Freirina,6,4
III Región de Atacama,3,Provincia  Huasco,Huasco,6,4
IV Región de Coquimbo,4,Provincia  Elqui,La Serena,7,5
IV Región de Coquimbo,4,Provincia  Elqui,Coquimbo,8,5
IV Región de Coquimbo,4,Provincia  Elqui,Andacollo,7,5
IV Región de Coquimbo,4,Provincia  Elqui,La Higuera,7,5
IV Región de Coquimbo,4,Provincia  Elqui,Paihuano,7,5
IV Región de Coquimbo,4,Provincia  Elqui,Vicuña,7,5
IV Región de Coquimbo,4,Provincia Choapa,Illapel,9,5
IV Región de Coquimbo,4,Provincia Choapa,Canela,9,5
IV Región de Coquimbo,4,Provincia Choapa,Los Vilos,9,5
IV Región de Coquimbo,4,Provincia Choapa,Salamanca,9,5
IV Región de Coquimbo,4,Provincia  Limarí,Ovalle,8,5
